time (UTC),latitude (degrees_north),longitude (degrees_east),tmpsfc (K),ugrd10m (m s-1),vgrd10m (m s-1)
2023-12-21T12:00:00Z,42.0,285.5,267.04086,0.32375488,-2.5182202
2023-12-21T12:00:00Z,42.0,286.0,270.64084,-1.6562451,-2.8082201
2023-12-21T12:00:00Z,42.0,286.5,269.54086,1.5337548,-4.50822
2023-12-21T12:00:00Z,42.0,287.0,269.74084,2.3537548,-3.17822
2023-12-21T12:00:00Z,42.0,287.5,271.44086,0.45375487,-3.0482202
2023-12-21T12:00:00Z,42.0,288.0,270.84085,1.1137549,-4.25822
2023-12-21T12:00:00Z,42.0,288.5,271.34085,0.8437549,-4.24822
2023-12-21T12:00:00Z,42.0,289.0,271.54086,1.1437548,-3.0382202
2023-12-21T12:00:00Z,42.0,289.5,281.04086,1.6237549,-10.96822
2023-12-21T15:00:00Z,42.0,285.5,272.2,0.10510986,-2.1761425
2023-12-21T15:00:00Z,42.0,286.0,273.9,-2.46489,-3.5361426
2023-12-21T15:00:00Z,42.0,286.5,272.6,2.0651097,-5.9161425
2023-12-21T15:00:00Z,42.0,287.0,274.7,1.1551099,-3.0261426
2023-12-21T15:00:00Z,42.0,287.5,275.1,0.09510986,-5.1161423
2023-12-21T15:00:00Z,42.0,288.0,274.30002,0.70510983,-5.5361423
2023-12-21T15:00:00Z,42.0,288.5,274.80002,0.81510985,-4.9861426
2023-12-21T15:00:00Z,42.0,289.0,275.7,0.6551098,-4.9761424
2023-12-21T15:00:00Z,42.0,289.5,281.1,1.0351099,-13.716143
2023-12-21T18:00:00Z,42.0,285.5,274.2,0.16628662,-2.2250829
2023-12-21T18:00:00Z,42.0,286.0,276.2,-2.7337134,-3.7250829
2023-12-21T18:00:00Z,42.0,286.5,273.7,2.0662866,-5.735083
2023-12-21T18:00:00Z,42.0,287.0,277.0,1.5962865,-2.695083
2023-12-21T18:00:00Z,42.0,287.5,277.2,0.006286621,-4.555083
2023-12-21T18:00:00Z,42.0,288.0,276.2,0.6962866,-4.8650827
2023-12-21T18:00:00Z,42.0,288.5,276.9,0.28628662,-3.825083
2023-12-21T18:00:00Z,42.0,289.0,277.0,0.8362866,-4.255083
2023-12-21T18:00:00Z,42.0,289.5,281.0,-0.39371338,-12.415083
2023-12-21T21:00:00Z,42.0,285.5,269.12436,0.07394287,-1.5836377
2023-12-21T21:00:00Z,42.0,286.0,271.02438,-2.676057,-3.6936376
2023-12-21T21:00:00Z,42.0,286.5,269.42438,1.1339428,-4.5636377
2023-12-21T21:00:00Z,42.0,287.0,270.52438,2.303943,-2.4336376
2023-12-21T21:00:00Z,42.0,287.5,272.42438,-1.0560571,-3.3236377
