time (UTC),latitude (degrees_north),longitude (degrees_east),tmpsfc (K),tmp2m (K),ugrd10m (m s-1),vgrd10m (m s-1),pratesfc (kg m-2 s-1),rh2m (%),prmslmsl (Pa),dlwrfsfc (W m-2),dswrfsfc (W m-2)
2023-12-19T00:00:00Z,41.5,289.5,280.54065,282.59872,13.259598,6.96375,0.0,82.0,99547.6,365.08087,4.288
2023-12-19T03:00:00Z,41.5,289.5,280.28378,281.97885,7.9663134,5.2697606,0.0,77.200005,100083.21,269.52042,0.0
2023-12-19T06:00:00Z,41.5,289.5,280.05197,280.89764,8.109662,5.865793,0.0,72.5,100420.71,264.70688,0.0
2023-12-19T09:00:00Z,41.5,289.5,279.80283,280.55655,6.3052416,3.3260913,0.0,69.6,100525.67,256.51562,0.0
2023-12-19T12:00:00Z,41.5,289.5,280.42245,279.69922,2.43312,2.8816185,8.16E-5,81.0,100754.766,NaN,NaN
2023-12-19T15:00:00Z,41.5,289.5,280.6616,280.11087,6.111041,0.7970886,8.0E-7,73.9,101056.9,312.41052,87.52
2023-12-19T18:00:00Z,41.5,289.5,280.93283,280.0904,6.7451205,0.3346875,0.0,67.0,101118.43,301.4183,198.22
2023-12-19T21:00:00Z,41.5,289.5,280.1772,280.33786,3.8064172,-0.9634473,3.2E-6,66.0,101455.78,251.74144,200.72
2023-12-20T00:00:00Z,41.5,289.5,279.88983,278.05115,6.427014,-4.474773,0.0,64.3,101840.68,248.41002,100.48
2023-12-20T03:00:00Z,41.5,289.5,279.47995,276.1611,3.330072,-4.742888,0.0,67.1,102055.37,234.37988,0.0
2023-12-20T06:00:00Z,41.5,289.5,279.31757,275.34763,3.6834607,-4.3325267,0.0,70.4,102130.52,232.47227,0.0
2023-12-20T09:00:00Z,41.5,289.5,279.11325,274.84067,3.32198,-5.0760984,0.0,73.0,102205.04,228.98372,0.0
2023-12-20T12:00:00Z,41.5,289.5,279.02133,274.67917,3.683462,-5.421659,5.6E-6,78.700005,102390.01,NaN,NaN
2023-12-20T15:00:00Z,41.5,289.5,279.6064,276.05087,3.1056664,-8.344448,0.0,75.5,102455.83,311.1733,61.66
2023-12-20T18:00:00Z,41.5,289.5,280.18784,277.5676,1.9870154,-7.5864234,0.0,62.100002,102288.72,286.26074,206.7
2023-12-20T21:00:00Z,41.5,289.5,279.53677,278.00043,2.4086108,-5.117031,0.0,50.600002,102303.97,236.6128,204.64
2023-12-21T00:00:00Z,41.5,289.5,279.47086,277.83154,3.5909057,-5.869712,0.0,47.2,102347.45,234.95006,102.46
2023-12-21T03:00:00Z,41.5,289.5,279.41122,277.06363,2.518717,-6.5238743,0.0,54.100002,102307.55,241.89742,0.0
2023-12-21T06:00:00Z,41.5,289.5,279.23633,276.7181,2.367285,-6.5656323,0.0,62.2,102350.31,240.48637,0.0
2023-12-21T09:00:00Z,41.5,289.5,279.12634,276.2177,2.2313452,-7.848359,0.0,65.8,102424.24,236.0503,0.0
2023-12-21T12:00:00Z,41.5,289.5,278.64084,275.14478,2.6337547,-6.89822,0.0,69.6,102653.4,NaN,NaN
2023-12-21T15:00:00Z,41.5,289.5,279.30002,275.86295,1.5851098,-8.946142,0.0,59.7,102745.06,230.00706,168.95999
2023-12-21T18:00:00Z,41.5,289.5,279.30002,275.1831,-0.33371338,-9.905083,0.0,49.0,102689.414,224.58324,294.94
2023-12-21T21:00:00Z,41.5,289.5,278.72437,275.21994,-0.7560571,-7.8336377,0.0,45.5,102804.02,214.60234,217.9
2023-12-22T00:00:00Z,41.5,289.5,278.47336,274.9434,0.9618701,-5.6384935,0.0,45.0,102937.625,215.40234,109.1
2023-12-22T03:00:00Z,41.5,289.5,278.49765,274.657,0.07091064,-6.742844,0.0,48.7,102934.75,216.81973,0.0
2023-12-22T06:00:00Z,41.5,289.5,278.30002,273.93454,1.7131054,-4.8069773,0.0,50.600002,102967.65,216.39542,0.0
2023-12-22T09:00:00Z,41.5,289.5,278.14786,273.20862,2.4773548,-4.2955346,0.0,51.600002,102975.15,215.00157,0.0
2023-12-22T12:00:00Z,41.5,289.5,278.10703,272.99338,1.6525292,-3.1537304,0.0,49.600002,103083.6,214.81094,0.0
